models,roc_auc,precision,recall,accuracy,f1,method
lr,0.7538827838827838,0.6928049728049729,0.6043956043956044,0.6899014778325123,0.6413464596373142,raw_data
rf,0.7687362637362638,0.7127039627039626,0.5912087912087912,0.6970443349753696,0.642080586080586,raw_data
xgb,0.7626739926739928,0.7256410256410256,0.7285714285714286,0.7475369458128079,0.7266568986568986,raw_data
knn,0.7336996336996338,0.6957342657342658,0.6329670329670328,0.7036945812807882,0.6586064659977703,raw_data
svm,0.7589468864468863,0.6825108225108225,0.6054945054945055,0.6832512315270935,0.640368530020704,raw_data
lr,0.7841575091575091,0.7326839826839826,0.7285714285714286,0.7463054187192119,0.7271534391534391,k best
rf,0.7609249084249085,0.7726340326340327,0.7120879120879121,0.7672413793103449,0.7377547734069474,k best
xgb,0.7407371794871794,0.7498778998778999,0.7109890109890109,0.753448275862069,0.725118881118881,k best
knn,0.7868864468864469,0.7731601731601733,0.7131868131868131,0.7677339901477833,0.7401481481481482,k best
svm,0.7825274725274726,0.7703396603396604,0.6516483516483517,0.7463054187192117,0.699410451062625,k best
lr,0.772948717948718,0.7211455211455211,0.7285714285714286,0.7391625615763547,0.7216149776149777,scaler_best
rf,0.7609249084249085,0.7726340326340327,0.7120879120879121,0.7672413793103449,0.7377547734069474,scaler_best
xgb,0.7407371794871794,0.7498778998778999,0.7109890109890109,0.753448275862069,0.725118881118881,scaler_best
knn,0.7818315018315019,0.7731601731601733,0.7131868131868131,0.7677339901477833,0.7401481481481482,scaler_best
svm,0.7799084249084249,0.7703396603396604,0.6516483516483517,0.7463054187192117,0.699410451062625,scaler_best
lr,0.6729212454212454,0.6488888888888888,0.6032967032967033,0.6549261083743844,0.6140962732919254,pca
rf,0.69742673992674,0.7395238095238096,0.3956043956043956,0.6544334975369459,0.5001403508771929,pca
xgb,0.7072985347985348,0.7301443001443001,0.6054945054945055,0.7041871921182266,0.6577912457912458,pca
knn,0.7295787545787548,0.6788888888888889,0.6021978021978022,0.6822660098522167,0.6330118577075099,pca
svm,0.7529304029304029,0.701010101010101,0.6197802197802198,0.6970443349753696,0.6545370950888192,pca
lr,0.6778663003663004,0.6607167832167832,0.6032967032967033,0.6677339901477832,0.6273801560758083,cp_decomp_adj
rf,0.7659798534798534,0.743073593073593,0.6197802197802198,0.7169950738916256,0.670804232804233,cp_decomp_adj
xgb,0.6641117216117216,0.6682046711458476,0.6054945054945056,0.6610837438423646,0.6288111888111889,cp_decomp_adj
knn,0.6888278388278388,0.6345098039215686,0.6945054945054945,0.6756157635467981,0.6591865357643759,cp_decomp_adj
svm,0.6211172161172162,0.0,0.0,0.5352216748768472,0.0,cp_decomp_adj
lr,0.6704395604395605,0.6103038138332256,0.6164835164835165,0.6472906403940887,0.6096852031662692,cp_decomp_adj_sex
rf,0.702481684981685,0.6834682964094729,0.589010989010989,0.6684729064039409,0.6212629399585922,cp_decomp_adj_sex
xgb,0.6862637362637363,0.6725974025974027,0.6186813186813186,0.6748768472906403,0.6416066252587992,cp_decomp_adj_sex
knn,0.7116117216117216,0.6281211049012907,0.8164835164835165,0.669950738916256,0.700483193277311,cp_decomp_adj_sex
svm,0.6190659340659341,0.0,0.0,0.5352216748768472,0.0,cp_decomp_adj_sex
lr,0.6763095238095238,0.6261904761904762,0.4967032967032967,0.6330049261083743,0.5492294372294373,tucker_decomp_adj
rf,0.7167032967032967,0.715,0.543956043956044,0.6827586206896552,0.6157391304347826,tucker_decomp_adj
xgb,0.7449816849816852,0.7010101010101011,0.632967032967033,0.7032019704433499,0.6590425566437561,tucker_decomp_adj
knn,0.6770512820512821,0.6974458874458874,0.4362637362637363,0.6541871921182267,0.5221520467836257,tucker_decomp_adj
svm,0.6979120879120879,0.6303496503496503,0.46923076923076923,0.6192118226600986,0.533213569039656,tucker_decomp_adj
lr,0.6704395604395605,0.6103038138332256,0.6164835164835165,0.6472906403940887,0.6096852031662692,tucker_decomp_adj_sex
rf,0.702481684981685,0.6834682964094729,0.589010989010989,0.6684729064039409,0.6212629399585922,tucker_decomp_adj_sex
xgb,0.6862637362637363,0.6725974025974027,0.6186813186813186,0.6748768472906403,0.6416066252587992,tucker_decomp_adj_sex
knn,0.7116117216117216,0.6281211049012907,0.8164835164835165,0.669950738916256,0.700483193277311,tucker_decomp_adj_sex
svm,0.6190659340659341,0.0,0.0,0.5352216748768472,0.0,tucker_decomp_adj_sex
lr,0.6394688644688646,0.5189102564102565,0.5296703296703297,0.5559113300492611,0.5223601532567049,cp_decomp_L
rf,0.7217216117216118,0.7097402597402597,0.5626373626373626,0.6756157635467981,0.6137566137566137,cp_decomp_L
xgb,0.7417032967032966,0.742997557997558,0.6835164835164835,0.7327586206896551,0.7022317900878621,cp_decomp_L
knn,0.7033745421245421,0.6859806859806861,0.5747252747252747,0.6756157635467981,0.6181538461538463,cp_decomp_L
svm,0.7316391941391942,0.6857142857142857,0.48571428571428577,0.6475369458128079,0.5541056682109314,cp_decomp_L
lr,0.6475641025641027,0.538507326007326,0.5604395604395604,0.5770935960591134,0.5476820905786423,cp_decomp_L_sex
rf,0.721419413919414,0.7102813852813853,0.6076923076923076,0.6970443349753694,0.6474208754208755,cp_decomp_L_sex
xgb,0.7417032967032966,0.742997557997558,0.6835164835164835,0.7327586206896551,0.7022317900878621,cp_decomp_L_sex
knn,0.7033745421245421,0.6859806859806861,0.5747252747252747,0.6756157635467981,0.6181538461538463,cp_decomp_L_sex
svm,0.7306776556776556,0.6857142857142857,0.48571428571428577,0.6475369458128079,0.5541056682109314,cp_decomp_L_sex
lr,0.6742948717948718,0.6509090909090909,0.5879120879120879,0.668472906403941,0.6159560219890056,tucker_decomp_L
rf,0.6679578754578754,0.7220346320346319,0.45494505494505494,0.661576354679803,0.5511877519886673,tucker_decomp_L
xgb,0.7172344322344324,0.7047552447552448,0.6362637362637363,0.7032019704433499,0.6648233795190317,tucker_decomp_L
knn,0.663489010989011,0.7029148629148628,0.5296703296703297,0.6758620689655173,0.5945557173566327,tucker_decomp_L
svm,0.6544871794871796,0.6377272727272727,0.48461538461538456,0.6334975369458128,0.5488612836438923,tucker_decomp_L
lr,0.6475641025641027,0.538507326007326,0.5604395604395604,0.5770935960591134,0.5476820905786423,tucker_decomp_L_sex
rf,0.721419413919414,0.7102813852813853,0.6076923076923076,0.6970443349753694,0.6474208754208755,tucker_decomp_L_sex
xgb,0.7417032967032966,0.742997557997558,0.6835164835164835,0.7327586206896551,0.7022317900878621,tucker_decomp_L_sex
knn,0.7033745421245421,0.6859806859806861,0.5747252747252747,0.6756157635467981,0.6181538461538463,tucker_decomp_L_sex
svm,0.7306776556776556,0.6857142857142857,0.48571428571428577,0.6475369458128079,0.5541056682109314,tucker_decomp_L_sex
lr,0.7093498168498169,0.6534615384615385,0.6208791208791209,0.6554187192118228,0.6234182447946534,spect_L
rf,0.615970695970696,0.591082251082251,0.5021978021978022,0.5982758620689655,0.5316655164481252,spect_L
xgb,0.680224358974359,0.6718648018648019,0.5626373626373626,0.6623152709359607,0.6036152253543559,spect_L
knn,0.6583699633699635,0.6416317016317016,0.5615384615384615,0.6485221674876847,0.5974314381270903,spect_L
svm,0.6805952380952381,0.6499999999999999,0.46923076923076923,0.6337438423645321,0.5389641495041952,spect_L
lr,0.7158333333333333,0.6480769230769231,0.665934065934066,0.6763546798029557,0.6564102564102564,k best all
rf,0.7974221611721612,0.7414141414141414,0.7131868131868132,0.7386699507389164,0.7160653540008379,k best all
xgb,0.7972481684981686,0.7503607503607503,0.667032967032967,0.739408866995074,0.7009023569023569,k best all
knn,0.7465934065934066,0.7193598068598068,0.7098901098901099,0.7322660098522167,0.7120280409245926,k best all
svm,0.7448076923076924,0.6823520923520923,0.4999999999999999,0.6549261083743843,0.5721449275362319,k best all
